cohort_week,purchase_week,l0_category,customer_count,cohort_index
2022-03-28,2022-03-28,All,256013,0
2022-03-28,2022-04-04,All,144817,1
2022-03-28,2022-04-11,All,135938,2
2022-03-28,2022-04-18,All,133603,3
2022-03-28,2022-04-25,All,132493,4
2022-03-28,2022-05-02,All,130704,5
2022-03-28,2022-05-09,All,126340,6
2022-03-28,2022-05-16,All,114180,7
2022-03-28,2022-05-23,All,1002,8
2022-03-28,2022-05-30,All,103038,9
2022-03-28,2022-06-06,All,112418,10
2022-03-28,2022-06-13,All,106723,11
2022-03-28,2022-06-20,All,108720,12
2022-03-28,2022-06-27,All,80760,13
2022-04-04,2022-04-04,All,306066,0
2022-04-04,2022-04-11,All,122032,1
2022-04-04,2022-04-18,All,120732,2
2022-04-04,2022-04-25,All,118626,3
2022-04-04,2022-05-02,All,118485,4
2022-04-04,2022-05-09,All,114522,5
2022-04-04,2022-05-16,All,100396,6
2022-04-04,2022-05-23,All,1201,7
2022-04-04,2022-05-30,All,88052,8
2022-04-04,2022-06-06,All,100961,9
2022-04-04,2022-06-13,All,94450,10
2022-04-04,2022-06-20,All,95044,11
2022-04-04,2022-06-27,All,67405,12
2022-04-11,2022-04-11,All,193288,0
2022-04-11,2022-04-18,All,58973,1
2022-04-11,2022-04-25,All,57401,2
2022-04-11,2022-05-02,All,56666,3
2022-04-11,2022-05-09,All,55934,4
2022-04-11,2022-05-16,All,48178,5
2022-04-11,2022-05-23,All,743,6
2022-04-11,2022-05-30,All,41158,7
2022-04-11,2022-06-06,All,47961,8
2022-04-11,2022-06-13,All,45484,9
2022-04-11,2022-06-20,All,44755,10
2022-04-11,2022-06-27,All,30801,11
2022-04-18,2022-04-18,All,158087,0
2022-04-18,2022-04-25,All,43564,1
2022-04-18,2022-05-02,All,41383,2
2022-04-18,2022-05-09,All,40056,3
2022-04-18,2022-05-16,All,34474,4
2022-04-18,2022-05-23,All,609,5
2022-04-18,2022-05-30,All,28768,6
2022-04-18,2022-06-06,All,33779,7
2022-04-18,2022-06-13,All,31787,8
2022-04-18,2022-06-20,All,31229,9
2022-04-18,2022-06-27,All,21244,10
2022-04-25,2022-04-25,All,144849,0
2022-04-25,2022-05-02,All,36541,1
2022-04-25,2022-05-09,All,33852,2
2022-04-25,2022-05-16,All,29074,3
2022-04-25,2022-05-23,All,526,4
2022-04-25,2022-05-30,All,24303,5
2022-04-25,2022-06-06,All,27694,6
2022-04-25,2022-06-13,All,25803,7
2022-04-25,2022-06-20,All,26043,8
2022-04-25,2022-06-27,All,17469,9
2022-05-02,2022-05-02,All,145349,0
2022-05-02,2022-05-09,All,34958,1
2022-05-02,2022-05-16,All,28401,2
2022-05-02,2022-05-23,All,535,3
2022-05-02,2022-05-30,All,23671,4
2022-05-02,2022-06-06,All,26806,5
2022-05-02,2022-06-13,All,24668,6
2022-05-02,2022-06-20,All,24463,7
2022-05-02,2022-06-27,All,16638,8
2022-05-09,2022-05-09,All,137847,0
2022-05-09,2022-05-16,All,28482,1
2022-05-09,2022-05-23,All,532,2
2022-05-09,2022-05-30,All,21234,3
2022-05-09,2022-06-06,All,24432,4
2022-05-09,2022-06-13,All,22373,5
2022-05-09,2022-06-20,All,21382,6
2022-05-09,2022-06-27,All,14659,7
2022-05-16,2022-05-16,All,786679,0
2022-05-16,2022-05-23,All,432,1
2022-05-16,2022-05-30,All,16762,2
2022-05-16,2022-06-06,All,18843,3
2022-05-16,2022-06-13,All,17409,4
2022-05-16,2022-06-20,All,16151,5
2022-05-16,2022-06-27,All,10801,6
2022-05-23,2022-05-23,All,4684723,0
2022-05-23,2022-05-30,All,419,1
2022-05-23,2022-06-06,All,606,2
2022-05-23,2022-06-13,All,613,3
2022-05-23,2022-06-20,All,775,4
2022-05-23,2022-06-27,All,559,5
2022-05-30,2022-05-30,All,1531955,0
2022-05-30,2022-06-06,All,33825,1
2022-05-30,2022-06-13,All,28434,2
2022-05-30,2022-06-20,All,25574,3
2022-05-30,2022-06-27,All,17188,4
2022-06-06,2022-06-06,All,118617,0
2022-06-06,2022-06-13,All,31245,1
2022-06-06,2022-06-20,All,25547,2
2022-06-06,2022-06-27,All,16971,3
2022-06-13,2022-06-13,All,102530,0
2022-06-13,2022-06-20,All,22901,1
2022-06-13,2022-06-27,All,14415,2
2022-06-20,2022-06-20,All,135862,0
2022-06-20,2022-06-27,All,27695,1
2022-06-27,2022-06-27,All,67527,0
2022-05-16,2022-05-16,"Chicken, Meat & Fish",2893,0
2022-05-02,2022-06-06,"Dry Fruits, Masala & Oil",8203,5
2022-03-28,2022-03-28,Sweet Tooth,29207,0
2022-04-11,2022-04-18,"Atta, Rice & Dal",13588,1
2022-05-30,2022-05-30,Paan Corner,7285,0
2022-04-04,2022-05-16,Home & Office,9682,6
2022-04-04,2022-06-20,Dairy & Breakfast,52556,11
2022-06-06,2022-06-13,Vegetables & Fruits,13615,1
2022-05-16,2022-05-16,Cold Drinks & Juices,50482,0
2022-05-23,2022-06-13,Munchies,127,3
2022-05-09,2022-05-30,Sweet Tooth,2968,3
2022-05-09,2022-05-16,Personal Care,3367,1
2022-03-28,2022-05-30,Pet Care,684,9
2022-03-28,2022-06-20,Organic & Premium,10426,12
2022-06-06,2022-06-13,Pharma & Wellness,1275,1
2022-05-30,2022-05-30,Dairy & Breakfast,258874,0
2022-04-04,2022-05-02,Specials,1432,4
2022-04-11,2022-05-09,Cleaning Essentials,9032,4
2022-05-23,2022-05-23,Organic & Premium,54043,0
2022-04-11,2022-04-25,"Tea, Coffee & Health Drinks",9755,2
2022-03-28,2022-05-23,"Chicken, Meat & Fish",6,8
2022-05-02,2022-06-27,Dairy & Breakfast,7912,8
2022-06-13,2022-06-13,Pharma & Wellness,3912,0
2022-04-11,2022-06-27,Instant & Frozen Food,5661,11
2022-06-06,2022-06-06,Cleaning Essentials,14633,0
2022-06-13,2022-06-13,Vegetables & Fruits,30243,0
2022-04-25,2022-06-27,Organic & Premium,965,9
2022-03-28,2022-04-25,Bakery & Biscuits,31639,4
2022-03-28,2022-05-23,Cold Drinks & Juices,45,8
2022-05-09,2022-06-13,Sauces & Spreads,2236,5
2022-04-04,2022-05-09,Baby Care,3076,5
2022-03-28,2022-05-30,Specials,3,9
2022-05-16,2022-06-27,Cold Drinks & Juices,2399,6
2022-05-16,2022-06-06,Organic & Premium,931,3
2022-04-18,2022-05-23,Cleaning Essentials,20,5
2022-04-11,2022-04-11,Instant & Frozen Food,31497,0
2022-04-18,2022-06-13,"Atta, Rice & Dal",8902,8
2022-06-13,2022-06-13,Personal Care,15547,0
2022-05-09,2022-06-06,Dairy & Breakfast,11642,4
2022-05-02,2022-05-23,Instant & Frozen Food,18,3
2022-04-11,2022-06-27,Munchies,7800,11
2022-05-16,2022-06-27,"Chicken, Meat & Fish",177,6
2022-04-11,2022-06-13,"Tea, Coffee & Health Drinks",7558,9
2022-06-06,2022-06-06,Paan Corner,1583,0
2022-04-25,2022-04-25,Munchies,29577,0
2022-03-28,2022-05-09,Paan Corner,1508,6
2022-05-09,2022-05-16,Pharma & Wellness,828,1
2022-04-11,2022-05-16,Instant & Frozen Food,8433,5
2022-06-06,2022-06-13,Personal Care,4365,1
2022-05-09,2022-06-13,Bakery & Biscuits,4305,5
2022-05-09,2022-05-16,Vegetables & Fruits,12607,1
2022-03-28,2022-04-25,Sauces & Spreads,17326,4
2022-04-11,2022-04-11,Organic & Premium,8052,0
2022-04-25,2022-05-30,Cleaning Essentials,3577,5
2022-04-25,2022-05-02,"Dry Fruits, Masala & Oil",9295,1
2022-04-25,2022-05-02,Dairy & Breakfast,16570,1
2022-04-04,2022-05-02,Pet Care,839,4
2022-05-02,2022-05-02,Organic & Premium,5440,0
2022-05-02,2022-05-02,Pharma & Wellness,4689,0
2022-05-30,2022-06-13,"Tea, Coffee & Health Drinks",4258,2
2022-05-09,2022-05-16,Pet Care,149,1
2022-03-28,2022-03-28,Dairy & Breakfast,115619,0
2022-06-06,2022-06-27,"Chicken, Meat & Fish",319,3
2022-05-23,2022-06-06,Instant & Frozen Food,87,2
2022-03-28,2022-05-16,Sweet Tooth,16801,7
2022-04-18,2022-05-09,Sauces & Spreads,3793,3
2022-03-28,2022-05-02,"Tea, Coffee & Health Drinks",29740,5
2022-05-02,2022-05-30,Bakery & Biscuits,4277,4
2022-05-02,2022-05-02,Vegetables & Fruits,41849,0
2022-06-20,2022-06-20,Paan Corner,2059,0
2022-05-02,2022-05-09,"Chicken, Meat & Fish",564,1
2022-04-18,2022-05-09,Munchies,10592,3
2022-05-09,2022-06-13,"Dry Fruits, Masala & Oil",6399,5
2022-03-28,2022-06-06,Specials,1447,10
2022-05-23,2022-05-23,Personal Care,191353,0
2022-03-28,2022-05-30,"Atta, Rice & Dal",34582,9
2022-03-28,2022-03-28,"Tea, Coffee & Health Drinks",36755,0
2022-05-16,2022-06-20,Home & Office,1633,5
2022-04-11,2022-04-11,Pharma & Wellness,7126,0
2022-05-16,2022-06-13,Cleaning Essentials,1991,4
2022-05-16,2022-05-16,Dairy & Breakfast,129392,0
2022-06-06,2022-06-27,Cold Drinks & Juices,3678,3
2022-05-23,2022-05-30,Home & Office,33,1
2022-03-28,2022-06-20,Personal Care,26108,12
2022-04-11,2022-04-11,Vegetables & Fruits,59317,0
2022-05-09,2022-05-16,Organic & Premium,1260,1
2022-05-30,2022-06-27,Bakery & Biscuits,3013,4
2022-05-16,2022-05-23,"Atta, Rice & Dal",39,1
2022-04-04,2022-06-13,Sweet Tooth,13997,10
2022-06-06,2022-06-13,Organic & Premium,1486,1
2022-03-28,2022-04-18,Instant & Frozen Food,30708,3
2022-04-18,2022-05-23,Specials,7,5
2022-05-09,2022-06-20,Pet Care,184,6
2022-03-28,2022-06-20,Pharma & Wellness,5357,12
2022-05-16,2022-06-13,Pet Care,113,4
2022-03-28,2022-06-20,Sweet Tooth,17532,12
2022-03-28,2022-06-20,Vegetables & Fruits,57984,12
2022-04-11,2022-04-11,Personal Care,33860,0
2022-04-11,2022-05-23,Sauces & Spreads,16,6
2022-05-30,2022-06-27,Instant & Frozen Food,2956,4
2022-06-20,2022-06-20,Cold Drinks & Juices,24022,0
2022-04-04,2022-04-04,"Atta, Rice & Dal",91452,0
2022-05-23,2022-05-23,"Dry Fruits, Masala & Oil",491472,0
2022-03-28,2022-05-09,Instant & Frozen Food,29365,6
2022-05-16,2022-06-06,Personal Care,2920,3
2022-04-04,2022-04-25,Cleaning Essentials,21453,3
2022-04-25,2022-06-27,Pharma & Wellness,644,9
2022-05-02,2022-05-30,Cold Drinks & Juices,5577,4
2022-05-30,2022-06-27,Sauces & Spreads,1556,4
2022-03-28,2022-06-06,Home & Office,16001,10
2022-06-13,2022-06-13,Organic & Premium,3613,0
2022-04-25,2022-06-27,Vegetables & Fruits,6859,9
2022-05-09,2022-06-20,Cold Drinks & Juices,4528,6
2022-05-09,2022-06-06,Sweet Tooth,3517,4
2022-04-11,2022-05-02,Home & Office,5907,3
2022-05-23,2022-06-06,"Atta, Rice & Dal",116,2
2022-03-28,2022-06-06,Pet Care,969,10
2022-04-04,2022-06-06,"Tea, Coffee & Health Drinks",19939,9
2022-04-04,2022-04-11,Pet Care,712,1
2022-05-02,2022-05-02,Personal Care,21371,0
2022-05-30,2022-06-06,Paan Corner,764,1
2022-05-09,2022-05-09,"Atta, Rice & Dal",31395,0
2022-06-20,2022-06-20,"Chicken, Meat & Fish",1957,0
2022-03-28,2022-04-04,Paan Corner,1056,1
2022-05-23,2022-05-23,Pharma & Wellness,31899,0
2022-03-28,2022-06-27,Baby Care,2493,13
2022-05-02,2022-05-30,"Chicken, Meat & Fish",343,4
2022-05-23,2022-05-23,Vegetables & Fruits,1090952,0
2022-05-02,2022-05-30,Sauces & Spreads,2228,4
2022-05-09,2022-06-20,"Chicken, Meat & Fish",411,6
2022-04-18,2022-05-09,Bakery & Biscuits,7361,3
2022-05-16,2022-06-06,Vegetables & Fruits,7972,3
2022-05-02,2022-05-09,Cold Drinks & Juices,8795,1
2022-04-04,2022-04-04,Baby Care,7758,0
2022-03-28,2022-05-30,Instant & Frozen Food,22127,9
2022-04-04,2022-06-27,Paan Corner,1039,12
2022-04-18,2022-06-27,Home & Office,2186,10
2022-05-16,2022-06-13,Specials,505,4
2022-05-02,2022-05-23,Sweet Tooth,20,3
2022-05-16,2022-06-06,Pharma & Wellness,737,3
2022-04-25,2022-06-27,Personal Care,2783,9
2022-04-18,2022-06-20,Instant & Frozen Food,6184,9
2022-05-09,2022-06-20,Specials,1402,6
2022-04-11,2022-05-23,Bakery & Biscuits,33,6
2022-04-04,2022-04-18,Dairy & Breakfast,61350,2
2022-05-09,2022-05-16,Sweet Tooth,3503,1
2022-04-25,2022-05-09,Pharma & Wellness,1124,2
2022-03-28,2022-05-16,Pet Care,729,7
2022-03-28,2022-04-18,Organic & Premium,9961,3
2022-04-11,2022-05-02,Sauces & Spreads,5958,3
2022-05-30,2022-06-13,Baby Care,715,2
2022-04-25,2022-05-09,Vegetables & Fruits,15057,2
2022-04-04,2022-04-25,Paan Corner,1279,3
2022-05-02,2022-05-09,Munchies,8834,1
2022-05-02,2022-05-30,Home & Office,2248,4
2022-04-11,2022-06-06,Cold Drinks & Juices,13164,8
2022-04-11,2022-05-30,Personal Care,7913,7
2022-05-09,2022-06-06,Specials,187,4
2022-05-09,2022-06-27,Baby Care,338,7
2022-04-11,2022-05-30,Pharma & Wellness,1360,7
2022-05-23,2022-05-23,Baby Care,21931,0
2022-05-16,2022-06-06,Instant & Frozen Food,3203,3
2022-04-11,2022-04-18,Munchies,14501,1
2022-04-18,2022-05-02,Cold Drinks & Juices,10946,2
2022-04-11,2022-05-02,Bakery & Biscuits,11181,3
2022-03-28,2022-05-16,Specials,15,7
2022-04-11,2022-05-30,Vegetables & Fruits,16780,7
2022-05-09,2022-06-06,Pet Care,149,4
2022-03-28,2022-06-06,Sweet Tooth,19195,10
2022-04-04,2022-04-11,Sweet Tooth,18013,1
2022-04-18,2022-05-09,Home & Office,3615,3
2022-04-25,2022-05-09,Personal Care,4761,2
2022-03-28,2022-05-16,Cleaning Essentials,19327,7
2022-05-02,2022-06-06,"Atta, Rice & Dal",6805,5
