review_title,product_id,rating,split_2_category,final_l0_category
Works perfect. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
Ok good product. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
Nice Product. Recommend it. But cleaning its exterior is cumbersome.. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
Excellent product✌. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
A good product for household use. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
मुझे बिल्कुल भी मजा नहीं आया और वापस कर दिया।. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
Best product. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
Good. ,B01486F4G6,4.3,Kitchen&HomeAppliances,Home & Office
Fan Speed is slow. I have installed this in my kitchen working fine is just fan speed is very slow could have been faster but not it is slow thats the reason this exhaust smoke very slow but it does exhaust.,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
Good quality. Good quality,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
Good product. https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61izko3RxDL._SY88.jpg,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
good. speed could have been little bit more,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
Old is gold.. ,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
Good product. Beat performance this product.,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
Nice product. Connecting wire is too short,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
Super 💕. Super,B00J5DYCCA,4,"Heating,Cooling&AirQuality",Home & Office
very good. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
Work but front melt after 2 month. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
Good one. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
It is durable. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
Review.. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
DEFECTIVE PRODUCT. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
Nice product. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
Nice product. ,B009P2LIL4,3.6,"Heating,Cooling&AirQuality",Home & Office
ok. ok,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
everything was good couldn't return bcoz I needed it in emergency. got everything as mentioned but the measuring cup was broken didn't expect this from amazon and as well as prestige. except this everything was good,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
Don't buy this 1 litre Prestige rice cooker. Already replaced but still got damaged product. I had a bad experience buying this Prestige 1L rice cooker. The screw on the bottom was not placed properly. There was a gap between the bottom plate and the top portion. I regret buying this.  they already had delivered the replacement but it came worst than the other one so I returned the product.,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
Ideal for a small family of two.. Like it for less power consumption & quick preparations.,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
Nice but small. The product is ok but it is small more small than i expected. It's perfect for 1 or2 people. Even my water bottle is taller.,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
Read the leaflets before you start cooking. Learn to use optimum quantity of water.. The product is used for cooking in hostel. Only use sponges to clean the utensil that comes with the cooker. Don't modify it.Use of excess water spoils the work. You can saute. Vegetables for two minutes also. Ideal for students living in hostel.,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
Quality excellent. i'm using from two months. it is nice and no worries about product quality and strongly recommended for to cook for two or three persons,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
Very Good product. Very Good product,B01M6453MB,4.1,Kitchen&HomeAppliances,Home & Office
Received the product without spanner. I received product without spanner,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
Excellent product. Excellent product,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
Satisfactory. It's little spongy compared to my last purchased brand which was hard and not so spongy as this one.,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
Good product. Very good and easy to install,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
great product. Comes in separate sealed packets & a spanner for easy installation.fitting was perfect.. really nice product,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
performance yet to be checked?. seem to be ok product.,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
Value for money. The candels are okay not quite good. For this thickness we need to change for every 2 months or sometimes even every one month,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
Good product. Price should be more little bit less,B08L7J3T31,4,Kitchen&HomeAppliances,Home & Office
Useless. Does not work as advertised at all. The pieces came out all nice and clean ... No hair stuck to them. All positive ratings are obviously bought.,B0B3JSWG81,3.1,Kitchen&HomeAppliances,Cleaning Essentials
Product functioning ok but price is quite high. ,B07J9KXQCC,3.6,"Heating,Cooling&AirQuality",Home & Office
Compact and effective. ,B07J9KXQCC,3.6,"Heating,Cooling&AirQuality",Home & Office
Nice product. ,B07J9KXQCC,3.6,"Heating,Cooling&AirQuality",Home & Office
AdiLakshmi. ,B07J9KXQCC,3.6,"Heating,Cooling&AirQuality",Home & Office
Best product. ,B07J9KXQCC,3.6,"Heating,Cooling&AirQuality",Home & Office
LIBRA 2000 Watt Portable Room Heater with adjustable thermostat. ,B07J9KXQCC,3.6,"Heating,Cooling&AirQuality",Home & Office
receive faulty product. ,B07J9KXQCC,3.6,"Heating,Cooling&AirQuality",Home & Office
